id,text,label,template_family
0,I cancelled but I still received a renewal notice. I received a login alert from an unknown location. I already contacted support,cancellation,cancellation:2
1,I need confirmation that my membership was cancelled. please respond quickly,cancellation,cancellation:3
2,The package was marked delivered but I did not receive it. I need a refund for an incorrect billing charge. thank you I already contacted support,delivery,delivery:1
3,I need confirmation that my membership was cancelled. I am using the mobile app please respond quickly,cancellation,cancellation:3
4,The export button does not work on my browser.,technical,technical:1
5,Someone changed my password without permission.,security,security:1
6,The login page keeps rejecting my credentials. I am using the mobile app,account,account:2
7,My order has not arrived and tracking has not updated.,delivery,delivery:0
8,The invoice amount is wrong this month. I need confirmation that my membership was cancelled.,billing,billing:1
9,My order has not arrived and tracking has not updated. the issue started yesterday,delivery,delivery:0
10,I cannot log into my account after resetting my password.,account,account:0
11,I cancelled but I still received a renewal notice. I already contacted support,technical,cancellation:2
12,The system is slow and sometimes freezes.,technical,technical:3
13,I need help changing the email address on my account.,account,account:3
14,I need confirmation that my membership was cancelled. The export button does not work on my browser. I am using the mobile app,account,cancellation:3
15,I need to change the delivery address for my order. My profile is locked and I need access again. I can provide screenshots,delivery,delivery:2
16,I receive an error when uploading a file.,billing,technical:2
17,My profile is locked and I need access again. thank you I am using the mobile app,account,account:1
18,I need to change the delivery address for my order urgent. I can provide screenshots I am using the mobile app,delivery,delivery:2
19,My payment failed but the money left my account. The shipment is delayed and I need an update.,billing,billing:2
20,I need to change the delivery address for my order. I am using the mobile app,cancellation,delivery:2
21,The system is slow and sometimes freezes.,cancellation,technical:3
22,My order has not arrived and tracking has not updated. this has happened before I am using the mobile app,delivery,delivery:0
23,I cannot log into my account after resetting my password urgent. I already contacted support I am using the mobile app,account,account:0
24,Please help me secure my account immediately.,security,security:3
25,I receive an error when uploading a file. this has happened before I am using the mobile app,billing,technical:2
26,The login page keeps rejecting my credentials. the issue started yesterday,account,account:2
27,Please stop my plan at the end of the month. I was charged twice for the same subscription.,cancellation,cancellation:1
28,The export button does not work on my browser. I am using the mobile app I can provide screenshots,technical,technical:1
29,The invoice amount is wrong this month urgent. this has happened before I can provide screenshots,billing,billing:1
30,I saw suspicious activity on my account. thank you I can provide screenshots,security,security:0
31,The shipment is delayed and I need an update urgent. I am using the mobile app,delivery,delivery:3
32,Please help me secure my account immediately.,security,security:3
33,My profile is locked and I need access again. I can provide screenshots,account,account:1
34,Please help me secure my account immediately. I cannot log into my account after resetting my password. I already contacted support,account,security:3
35,The login page keeps rejecting my credentials.,account,account:2
36,I cancelled but I still received a renewal notice. The package was marked delivered but I did not receive it.,cancellation,cancellation:2
37,The app crashes every time I open the dashboard. please respond quickly this has happened before,technical,technical:0
38,Someone changed my password without permission.,delivery,security:1
39,The app crashes every time I open the dashboard.,technical,technical:0
40,The system is slow and sometimes freezes. I need a refund for an incorrect billing charge urgent. I can provide screenshots,technical,technical:3
41,The invoice amount is wrong this month. I can provide screenshots,billing,billing:1
42,I receive an error when uploading a file. I am using the mobile app please respond quickly,technical,technical:2
43,I need a refund for an incorrect billing charge urgent. I can provide screenshots thank you,account,billing:3
44,Please stop my plan at the end of the month.,cancellation,cancellation:1
45,My payment failed but the money left my account. I want to cancel my subscription before renewal urgent.,billing,billing:2
46,My profile is locked and I need access again. I already contacted support,account,account:1
47,I received a login alert from an unknown location. I was charged twice for the same subscription. I already contacted support I can provide screenshots,security,security:2
48,The export button does not work on my browser.,account,technical:1
49,I need help changing the email address on my account urgent. thank you,account,account:3
50,Someone changed my password without permission. The shipment is delayed and I need an update. I already contacted support I can provide screenshots,security,security:1
51,I received a login alert from an unknown location. I can provide screenshots I am using the mobile app,technical,security:2
52,The export button does not work on my browser. this has happened before,technical,technical:1
53,The app crashes every time I open the dashboard. this has happened before I am using the mobile app,technical,technical:0
54,The system is slow and sometimes freezes. I can provide screenshots I already contacted support,technical,technical:3
55,I was charged twice for the same subscription. I need confirmation that my membership was cancelled. please respond quickly this has happened before,cancellation,billing:0
56,I need to change the delivery address for my order. Please help me secure my account immediately.,delivery,delivery:2
57,The package was marked delivered but I did not receive it. I can provide screenshots thank you,security,delivery:1
58,My order has not arrived and tracking has not updated.,delivery,delivery:0
59,I receive an error when uploading a file. I can provide screenshots thank you,delivery,technical:2
60,The login page keeps rejecting my credentials.,account,account:2
61,I need to change the delivery address for my order. I can provide screenshots,delivery,delivery:2
62,I need a refund for an incorrect billing charge.,billing,billing:3
63,The app crashes every time I open the dashboard.,technical,technical:0
64,I receive an error when uploading a file.,technical,technical:2
65,My profile is locked and I need access again. Someone changed my password without permission.,account,account:1
66,The login page keeps rejecting my credentials.,account,account:2
67,The export button does not work on my browser.,billing,technical:1
68,I saw suspicious activity on my account urgent. the issue started yesterday this has happened before,security,security:0
69,The shipment is delayed and I need an update. I was charged twice for the same subscription. please respond quickly,security,delivery:3
70,I need a refund for an incorrect billing charge. I saw suspicious activity on my account.,account,billing:3
71,The shipment is delayed and I need an update urgent. this has happened before I can provide screenshots,delivery,delivery:3
72,I need confirmation that my membership was cancelled. I cannot log into my account after resetting my password urgent. the issue started yesterday I can provide screenshots,cancellation,cancellation:3
73,I cancelled but I still received a renewal notice. please respond quickly,cancellation,cancellation:2
74,I need a refund for an incorrect billing charge.,cancellation,billing:3
75,My order has not arrived and tracking has not updated.,delivery,delivery:0
76,I need help changing the email address on my account.,account,account:3
77,The shipment is delayed and I need an update. I already contacted support,delivery,delivery:3
78,My order has not arrived and tracking has not updated. Please stop my plan at the end of the month.,delivery,delivery:0
79,I receive an error when uploading a file.,technical,technical:2
